author_name,rating,review_text,review_date,title,app_version
Eyrmia,3,"I love the app and this bank. Unfortunately, since updating to iOS 18, the CACU widget has disappeared from my phone with no obvious way to restore it. I’m talking about the little box that would give you a summary of all your accounts. If that functionality could be restored, this app would be pretty much perfect!",2024-10-22T13:45:35-07:00,No widgets after iOS 18,2024.07.1 (2024.7.0.1)
Jaggzzi,5,Best bank I have ever used.,2024-10-20T14:33:11-07:00,Best ever.,2024.07.1 (2024.7.0.1)
tori3172,1,Every time I try to log in it says there is an application error and I can not use the app,2024-10-16T19:50:14-07:00,Application error,2024.07.1 (2024.7.0.1)
Fn Craig,1,Bring back the widget. Was way less time consuming.,2024-10-16T03:04:17-07:00,Miss the widget,2024.07.1 (2024.7.0.1)
7/9/22,3,Can’t get into account Seems to be updating everytime I need access most… other than that no issues,2024-10-15T14:35:24-07:00,Fix it,2024.07.1 (2024.7.0.1)
Cf198908,2,"I do not understand why I can’t seem to get notifications to my email from my account to alert me all the time not just after I log in, I do not receive any notifications or alerts from my account unless i log in then it sends me a back log of all the email notifications I should get but all at once",2024-10-10T06:50:32-07:00,App works but…,2024.07.1 (2024.7.0.1)
ajpiburn,5,Great,2024-10-03T09:15:31-07:00,Cindy Johnson,2024.07.1 (2024.7.0.1)
JoeNyongesa,1,"Well, I don’t know why I have banners to create different accounts. One is fine, but two? That’s a bit too much",2024-08-20T11:09:28-07:00,Ads,2024.04.3 (2024.4.0.3)
Randipandee,1,I don't  know what you guys did with the upgrade but now depositing a check is impossible,2024-08-08T12:18:54-07:00,Check deposit,2024.04.3 (2024.4.0.3)
Hernan Gave A Review,5,Grate app,2024-07-31T14:06:19-07:00,Easy to use,2024.04.3 (2024.4.0.3)
Richie O17,5,Great website.  Very easy to use and do banking with.,2024-06-14T19:49:09-07:00,CACu,2024.04.3 (2024.4.0.3)
Happypuzzler67,3,"I generally love the app however a recent update moved bill pay button to additional options instead of it being on main screen. I do not use investment and would prefer that is not on the screen. So, suggest making it a preference to reorganize the buttons by user. Thanks!",2024-05-06T07:20:17-07:00,Bill pay moved,2024.1.0.5
Sue Hook,5,"I just recently moved my banking needs to CACU. They have gone above and beyond my expectations!  Courteous, knowledgeable, and eager to help in all I’ve asked.  I’m so thankful I made the change and I’ve told several friends.",2024-04-24T07:33:59-07:00,Sue Hook,2024.1.0.5
Campwiz,3,"You still cannot access your statements from the app, only the website. They have also removed the bill pay option as part of the tool bar on the first/opening page and replaced it with an investments option. Grr, I have used that option multiple times a month for years! Now I have to jump through extra hoops- very aggravating and a totally unnecessary move.",2024-03-28T06:22:52-07:00,They decided to go backward a bit..,2024.1.0.5
LilSaint78,5,Really great at helping me keep track of my irresponsible spendings.,2024-03-21T16:43:03-07:00,Great app good services,2024.1.0.5
Derek Thrilla,1,"The latest update that changed the check photo process cause it to stop working. It will not read my checks anymore, which is the only reason i have the app.",2024-03-11T14:47:58-07:00,Mobile check deposit broken,2024.1.0.5
Pvanstrom,1,Our mortgage statements won’t download on the app. No one could figure out how to fix my Zelle since I use it at another bank too. Just frustrating.,2024-02-21T05:33:00-07:00,Frustrating and hard to get help,2024.1.0.5
AD7!,5,I find this app very user-friendly.,2024-01-27T05:21:58-07:00,Thanks CACU 😀,2023.3.0.3
Kellen’s review,5,"CACU App has never let me down, from connivence of checking my account on my phone, to efficiently moving funds or paying bills at the click of a couple buttons. The mobile app is user friendly and multi-functional",2024-01-16T12:58:59-07:00,"Convenient, Efficient, Easy To Use",2023.3.0.3
SkullyAmy,5,👍keep up the great work,2024-01-02T08:59:31-07:00,Great app,2023.3.0.3
robertg40,5,Easy to use. from transferring money from one account to another to making deposits right from your phone.,2023-12-29T04:24:09-07:00,Convenient,2023.3.0.3
llllllsheuusgbsnskks,1,My pay checks can not deposit on the app because there is a holographic sticker. Incredibly annoying. I know I wish my job had direct deposit but they don’t offer it. The app used to work and now it doesn’t. It wouldn’t accept these checks on my iPhone 11 and now 14 so it’s definitely the app.,2023-12-08T14:58:00-07:00,Won’t accept my checks,2023.3.0.3
singertenor,4,"With the exception for a couple of specific checks for which even three or four attempts the photo is rejected with no explanation, the deposit feature is a great time saver.",2023-12-05T17:18:09-07:00,Check Deposit Great Most of the Time,2023.3.0.3
a_seeker1901,1,"At some point, CACU made a change to the mobile app that makes it impossible for me to login. SMS never works I always get a “data error”. The authenticator app option is never offered. Terrible App",2023-12-05T14:45:19-07:00,Terrible App,2023.3.0.3
Iamjlong,3,"I LOVE this bank, but I wish the app supported live push notifications! It has everything but that! Whereas anytime a charge is made to one of your accounts the app notifies you on phone via a push notification. I don’t understand why prepaid card apps will do that but actual banks apps won’t.",2023-12-01T12:21:08-07:00,Missing something,2023.3.0.3
hotcheetolover78,2,"not alot of features compared to other banks, also its down alot for maintance and youll just get an error message trying to login, youre unable to access your account. cant check balances, make transfers, pay bills, etc",2023-12-01T06:23:34-07:00,basic banking app,2023.3.0.3
Cudi Miller,3,The person I called was a little rude and kinda just didn’t care as I was freaking out but they got the job do and that’s what matters but haven’t received my card in about so I’m heading to the bank soon to get it. But still would get,2023-11-21T08:18:18-07:00,I got hacked,2023.3.0.3
Silenceimpaired,1,"Credit card data is just a poorly done mobile webpage… can’t be bothered to import the data so it shows like accounts (unlike US Bank). 

Their budgeting section is lost in some out of the way mobile webpage.

Their two factor authentication messes up most budgeting apps. Where you have to sign in daily to use them.",2023-11-04T12:51:47-07:00,Poorly put together often down,2023.3.0.3
Racerdain,5,"I've been with CACU since 2008, and couldn't ask for better service! Multiple car loans, personal loans, a heloc, checking and savings. CACU makes it easy to do business.",2023-11-03T08:19:07-07:00,Fantastic!,2023.3.0.3
ebarner1029,5,Love it! Easy to use and doesn’t crash on me!,2023-10-19T20:27:17-07:00,Best bank app ever!!!!,2023.3.0.3
??Andy??,3,"The new version somehow looked up all my credit cards and posted the balance on them, Including ones that I have 0 balances on and it is showing that I owe over $5k, they have been paid off over 10 years.",2023-10-18T10:30:00-07:00,Older version is better,2023.3.0.3
kjopks20,1,The app check deposit works about 1% of the time.,2023-10-14T16:10:28-07:00,Check deposit is horrible,2023.3.0.3
#loginagain,1,Doesn’t always work well,2023-10-07T16:27:13-07:00,Photos,2023.3.0.3
jolynnpooh,5,I am amazed at the interest on the High Interest Savings account!! I love my CACU! The staff in Raymore are top notch!,2023-09-14T06:18:09-07:00,High Interest Savings,2023.3.0.3
jfjonez,4,"I deal with the branch on NW 64th Street.They are very knowledgeable and always show sincere concern when you need their help. Jessica is so knowledgeable, not that they all aren’t good at their jobs, but I usually try to talk to her first, she is amazing.",2023-09-12T15:39:52-07:00,Always Helpful When You Have a Problem,2023.3.0.3
Customer Xman,5,"I use several other banking apps. The all have the same standard features. There are few differences between them. The CACU app does exactly what it is supposed to do. It’s reliable, fast, and stable. There are few standout features, so it’s pretty standard. But the app always functions well. That is the most important thing concerning money.",2023-08-11T14:03:33-07:00,The best of them all.,2023.3.0.3
Rupae,1,Stupid that when you guys update the systems won’t let me log into my account to make changes so annoying especially when I’m trying to get food or pay bills fix this nonsense,2023-08-05T21:43:55-07:00,Fix,2023.3.0.3
Kmed06,5,CACU is a very good organization that help their customers to get on track I really love this organization I will recommend this to everyone I know,2023-07-16T17:16:48-07:00,Life saver,2023.3.0.3
Winston cw,1,My card still hasn’t arrived it’s taking forever!,2023-06-13T12:23:26-07:00,Debit card,2023.3.0.2
ki1233,1,Check deposit takes a while even after it says it is accepted,2023-06-08T14:20:43-07:00,Mobile deposit,2023.3.0.2
Healthierchic,5,easy to navigate. Love the mobile deposit feature,2023-06-02T04:58:45-07:00,Convenient,2023.3.0.2
Desirable Dee,5,I love the convenience of banking on line with CACU. I have been a member for many years and think the staff are excellent!!! Thank you for your service and professionalism.,2023-05-23T12:08:00-07:00,Love this app,2023.3.0.2
App Fan 007,2,When app returns to foreground it paints it menus incorrectly. This time it came up with skip a payment  as far right menu.  I am concerned that some menu activities will get activated and cause issues with unintended activity getting invoked.  App will crash when this happens.,2023-04-24T15:08:52-07:00,App tab menu not working,2022.9.2.1
Guybrogal,3,Card lock feature should be added,2023-03-31T03:25:03-07:00,Safety feature,2022.9.2.1
Korz Auto Farm,4,"I am pleased with the app. I do not have any complaints, but I am not doing double handsprings either. Performs as it should.",2023-03-19T14:39:08-07:00,Pleased,2022.9.2.1
iStraightSimp,5,Bery convient,2023-03-02T14:35:12-07:00,Yay money,2022.9.2.1
dsukra,1,"I use to love this app and bank until the current update that took days. Now my transactions don’t show as soon as they happen it takes several days at times, my pending transactions that do show doesn’t subtract the amount from the available balance anymore and it also takes several days before the transaction is completed. This is not just happening on transactions that are done online, it is everywhere. I never had these problems before, this is so frustrating because this can cause overdrafts to happen if I forget about a transaction or something then there’s a fee. This makes me want to go to a different credit union or bank.
I also looked to make sure the app was up to date cause when I talked to one of the people at the credit union about this she said to make sure it is updated, it is updated and I can’t update it any further there is no option to do so anywhere.",2023-02-25T05:29:32-07:00,Issues,2022.9.2.1
an honest review thanks,3,"The mobile check deposit is unreliable which is unfortunate because there aren’t a lot of branch locations. Tried to take picture in ideal lighting, terrible on android and iPhone.",2023-02-16T12:27:52-07:00,Unreliable,2022.9.2.1
C8o2,5,Very helpful when an issue come up.,2023-02-03T15:28:45-07:00,Great people!!,2022.9.2.1
Post-Human: Own it!,1,"Taking a photo of checks for deposit is more difficult than the other banks app that I use.
Bank of America’s works very well if you would like to see a comparison. Sometimes I just have to take the check in as the camera fails to capture it.
Thanks. Otherwise I love Community America!",2023-01-29T09:14:55-07:00,Camera needs work!,2022.9.2.1
Mrrcwinrow,5,THANK YOU,2023-01-25T01:26:10-07:00,Review,2022.9.2.1
feburch,5,This is a great app to have. Instant access to your accounts. Transfers made easy. I Love my app❤️,2023-01-16T05:04:26-07:00,CACU,2022.9.2.1
TorresVega,5,Community America Credit Union is the best!!!!,2022-12-13T03:15:53-07:00,My bank,2022.9.2.1
TaTaLicious07,1,I have a Citibank account and you can be in the Amazon and the picture will still show up as it looks and even better! Taking the picture 5/10 times each deposit s slows down progress!!!,2022-12-11T19:31:30-07:00,Better Picture Quality,2022.6.0.2
Tpinkc,5,Best credit union EVER!!!!,2022-12-10T16:42:28-07:00,Great!,2022.6.0.2
febbeccafena,5,The App makes it easy to monitor our bank accounts.,2022-12-09T07:52:24-07:00,Cacu app,2022.6.0.2
spottedsow,4,"All the strings attached for a member to be eligible for a profit payout and all the strings attached to the different accounts to qualify for higher interest rates are disheartening. Because I want to save money in my savings account and I have no need for a checking account, I  can’t have the required number of debit card transactions for higher rates. I am stuck with a low interest-rate savings account. Will probably be pulling my money out of your institution in the near future to put someplace that pays higher interest without the strings. 

I have been happy with my car loan rates over the years.",2022-12-04T10:51:57-07:00,Review,2022.6.0.2
moomoo mommy,1,I have contacted them on several occasions that mobile deposit doesnt work and the app freezes when when its time to take a pic of the check. Bout to leave this bank altogether.,2022-11-23T01:29:58-07:00,Mobile deposit still dont work,2022.6.0.2
Wildcat1580,4,Ever since I upgraded to iOS 15 the mobile check deposit has been buggy. When I go to take an image of the check the app tells me to rotate my phone but no amount of rotating removes the message. The work around I found is to open another app with the phone rotated and then go back to the CACU app. Please fix!,2022-10-31T08:17:42-07:00,Great app needs a few bug fixes,2022.6.0.2
badmoneybro,1,My cuz need his money so can bet on Chinese basketball game. And I need my money from cash app,2022-10-30T00:43:45-07:00,We’re my money,2022.6.0.2
29&3!7/)?2!&;,4,"Update: this used to subtract the amount of pending transactions from the available balance. It made it super easy for a quick look at funds available. It isn’t doing that now.  That is a negative. I’d like to be able to select which accounts I see/ don’t see from the app instead of having to log in online. 

It’s still an amazing app. It is still light years better than any of the others. If their app ever goes down and everyone has to use atms, then we are all in trouble because those never work correctly.  But this is good. 

This is the best banking app that exists. Community America could do better with money transfer options to external accounts, but transfers internally are super easy and convenient.",2022-10-21T07:08:47-07:00,Perfect,2022.6.0.2
huntz989,1,"The app was great for a while. Had no complaints. Then they did the big system update, and I am beginning to hate the app. It’s slow, glitchy, and nothing ever works when I need it to. Very dissatisfied with the new update.",2022-10-17T09:39:03-07:00,Worst update ever!!,2021.11.0.101
Mr. A.D Urban,5,They make things so simple and are super courteous to their customers,2022-10-13T13:38:08-07:00,Love this Credit Union,2021.11.0.101
GuyinKS,2,Site works but lots of down time. Doesn’t seem to be comparable to larger bank offerings. Also ui is old looking,2022-10-11T08:53:07-07:00,Minor league,2021.11.0.101
pokepals11,5,I no longer have a single sign on for personal and business accounts due to a recent “upgrade”.  If the upgrade doesn’t help customers it isn’t an upgrade.,2022-10-08T19:15:10-07:00,Recent “upgrade”,2021.11.0.101
jb08080&,1,Ever since the update this app has been GARBAGE,2022-10-07T09:11:14-07:00,Going to cancel,2021.11.0.101
brad n victoria,5,Great app very helpful and so far very secure thanks,2022-10-06T07:11:49-07:00,Great,2021.11.0.101
nakanqlbe e,1,👎🏿,2022-08-08T19:31:56-07:00,Delayed instant deposit,2021.11.0.101
unhappy manboy,5,Soo not loadings my info,2022-07-22T07:03:51-07:00,Problem,2021.11.0.101
AkAkAk03,3,"I love banking with CACU, but I agree with others in the fact that the mobile app needs some work. Mobile deposit for checks is a huge pain point for me. I recently sold my house, so I’ve received numerous refund checks from insurance, escrow, etc. that are clearly printed out (not handwritten) and the images “aren’t recognized,” preventing me from being able to complete the mobile deposit. I even had an error with a check from CACU… I mentioned it to a teller and she said it’s a common complaint. Please look into updating this functionality!",2022-06-21T16:55:14-07:00,Good foundation but needs core functionality improvements,2021.11.0.101
DWins72,5,"From opening our first account to now, we’ve never had a negative experience with CACU. The online banking options make our lives so much easier and every person we have encountered has been helpful and friendly. Definitely recommend CACU for every household.",2022-06-18T05:22:21-07:00,Great experiences,2021.11.0.101
Fa BOSS,5,We love Community America!! Everyone is super and everything is easy!!,2022-06-04T13:37:26-07:00,The best!!,2021.11.0.101
Skips iPad,3,"Not sure if or where it went 
$500.00",2022-05-02T18:37:52-07:00,Transfer funds,2021.11.0.101
brook4288,5,Too many errors too many,2022-04-30T21:12:32-07:00,Errors,2021.11.0.101
"Angry DC of Overland Park, KS",5,"I love CACU online banking. I’m not very savvy with technology but their online banking is easy to use, and everything I need is at my fingertips.",2022-04-04T12:37:50-07:00,Easy to Use,2021.11.0.101
Anna_pre,2,"It's a basic app that recently hasn't been working well. Not nearly as functional and lacks features that a lot of other banks, credit unions, and mobile banks have. Where is the ability to view/copy direct deposit information, control debit card features (lock card, change PIN, etc.), view account information. With everything rapidly moving to a digital space, you'd think there’d be more of an investment into updating mobile app. This app has been the same for YEARS with little update to features when it comes to account accessibility.",2022-04-01T10:52:55-07:00,Lacks basic banking functionality,2021.11.0.101
Stephnk,3,"Hi just want to report the app hasn’t been working well the last couple days. Keeps saying the Application Error- Unable to display information at this time.  My husband and friends also get this error intermittently.  
 I’ve killed the app & reopened, even deleted and reinstalled… still having trouble. Usually the app is great so this is out of the norm.",2022-03-26T09:30:11-07:00,Not working well recently,2021.11.0.101
executive2019,5,Fantastic app to say the least!!!👍👍👍,2022-03-10T10:27:50-07:00,App Review,2021.11.0.101
Fatimaaaaaaaaaaaaaaaaa,3,We don’t even have the access to close our cards or use 1Password to automatically enter my password (not sure what changed but I used to be able to).,2022-03-04T18:36:18-07:00,Could be better,2021.11.0.101
allyskskdk,5,It’s a great app to keep track how is put in and hohos much s you send,2022-02-07T19:09:49-07:00,Teen banking,2021.11.0.101
Cash For Cars $$$$,5,Love,2022-02-02T20:09:52-07:00,Love,2021.11.0.101
MrzEric1,3,The atm/bank locator is really weird now. Before the app allowed for easier ways and was way more clear and concise. Now its different.,2022-01-27T19:20:35-07:00,Bring the initial atm/bank locator back,2021.11.0.101
Chiefsbaby!,4,Would love to have a calculator!,2022-01-27T18:04:13-07:00,Thank you,2021.11.0.101
SeanSSRemodels,5,The app is very informative about when things are going to be updated or down or what night which is absolutely a blessing when dealing with Mobley King.,2022-01-11T18:28:37-07:00,Fantastic,2021.11.0.101
blind to the cc,1,I can’t see any of my credit card statements. I click on the download pdf button and it acts like it is downloading then nothing actually happens very frustrating.,2021-12-26T12:47:37-07:00,Credit card,2021.11.0.101
E.J.WW,1,"You have to be on wifi connection to use app. The login process fails the first time. (You have to log in 2x). When updates were made recently to the credit card section, they turned off auto-pay.",2021-12-21T04:17:34-07:00,The UI is nice but usability not great,2021.11.0.101
official kd,2,The apps recent update will not allow me to check any account information,2021-12-11T21:11:52-07:00,Bug needs to be fixed,2021.6.0.96
Heidijane89,5,"Love this bank, and also the app! 🤤",2021-12-08T17:51:07-07:00,"Love this bank, love the app!",2021.6.0.96
Michael84488,4,Community bank is awesome in person and on the app. If I could change one thing it would be an app redesign just looks a little dated other then that it’s phenomenal.,2021-11-12T01:56:47-07:00,One suggestion,2021.6.0.96
A.Lile,1,"I am having nothing but trouble getting this app to load, every time I get through taking the picture of my check images it freezes up… My only option is to email or call the main office. There should be a way to report the problem right away through the app to make the troubleshooting more efficient.",2021-11-01T14:01:05-07:00,Not working and no way to report it.,2021.6.0.96
usuckfb,3,"i’m coming from US bank to a much better bank but the US bank app is much more advanced, would LOVE to be able to Zelle out of the app directly.",2021-10-28T08:27:47-07:00,can you add zelle :(,2021.6.0.96
Maddie8888,1,"Update: It has just kicked me off again; doesn’t “recognize” my face. I just deleted it. Maybe it doesn’t like IOS but it never remembers my log in creds or facial rec. In order to use it, I have to tell it I forgot my PW and go through the entire process of resetting it. Every. Single. Time. I have the Business app as well. Same thing. I have to know my PW to “enroll” in facial recognition log in option. I’ve done it many times and it never takes. Useless to me.",2021-10-19T11:53:07-07:00,"Great bank, terrible app",2021.6.0.96
Allegra Dia,5,Community America has made it possible for me to live 1200 miles away and still be able to enjoy the benefits of such awesome credit Union benefits. No extra silly fees.. and they even pay me a little extra  with their Profit Payout at the end of each year. I’ll be with CACU until it’s no longer a possibility.,2021-10-16T16:45:27-07:00,When Remote Banking is a MUST,2021.6.0.96
wfuxrg,5,I love this app and I love community America credit union. They are giving me a chance to further build my credit score with hood competitive rates!,2021-10-07T15:29:12-07:00,Great institution,2021.6.0.96
GpDir,5,I’ve used CACU for more than 20 years. I’ve always had excellent service with them.,2021-10-04T07:48:31-07:00,Over 20 years,2021.6.0.96
the 008,5,Great service,2021-09-28T13:26:09-07:00,Mr,2021.6.0.96
tilton123,3,Doesn’t seem to work with the new version  of iOS needs a. Update,2021-09-28T04:52:53-07:00,iOS 15,2021.6.0.96
crappie kevin,3,I left usb because their cards malfunction. CACU has slow but functional atms.,2021-08-29T18:39:29-07:00,Ok,2021.6.0.96
bnh CDC jvcf I hvffg,5,I Love you!,2021-08-10T18:35:09-07:00,Love,2021.6.0.96
DJ C Style,5,This is a very cool and informative app!,2021-07-06T18:12:48-07:00,Lloyd Cooper 3rd LC3 Entertainment,2021.3.0.95
Ericguizar,1,"nothing about it is immersive. or constructive to help view spending like BoA or ChaseBank App, it’s been years now",2021-07-01T16:03:00-07:00,app is years overdue for an update,2021.3.0.95
hhkgfdd;4,5,Thank you,2021-07-01T06:06:26-07:00,Best bank ever,2021.3.0.95
,1,"Recently when logging in, it says “application error” and I can’t see or do anything, including checking balances or depositing checks. I tried deleting the app and redownloading, but the same thing happens. Super frustrating",2021-07-01T04:21:06-07:00,Can’t use app?,2021.3.0.95
273947296,5,Anytime I need help Community America is always there with the answers. Best bank I have every banked with!,2021-06-09T05:34:53-07:00,Great,2021.3.0.95
Jennifer Von Arlt,5,We LOVE the app. The only thing that would make it better is if they included a map or list of sister locations to deposits cash ate,2021-06-04T12:53:58-07:00,Love the Bank and the App!,2021.3.0.95
nawdjf,5,User friendly. Especially love the branch finder for when you have banking needs but not in the Midwest,2021-05-30T21:07:48-07:00,Super easy to learn,2021.3.0.95
Sh*lby,5,"Easy to use, works 99.9% of the time, very seldom do my husband and I have any issues accessing our account information, and fast!",2021-05-16T19:52:26-07:00,Super user friendly!,2021.3.0.95
TumTum0031,5,Can you add the routing number to the details page? It is so frustrating to try and do payments only to have to launch the CACU.com website to find the routing number. Please add it to details above the account number!,2021-05-06T07:13:23-07:00,Need Routing # in App,2021.3.0.95
JustinAragon,2,"Community America credit union is probably one of the best places to put your money. However, having said that their mobile app design is getting a little long in the tooth for 2021 and also who’s ever heard of pop money m? they really need to get on the bandwagon and integrate with Zelle",2021-04-01T23:22:03-07:00,"Great Bank, So So App",2021.2.0.91
ctrujill,3,"You need to make it available so I can transfer money to other members accounts.  I transfer between my son and my account regularly, but I can’t a CACU.",2021-03-24T17:07:23-07:00,Transfers,2021.2.0.91
xxmintuser,5,Great strides made on this app. While I don’t use all the features the ones I do use work flawlessly.,2021-03-21T20:45:24-07:00,Great App,2021.2.0.91
and72f,5,This app is super user friendly. It’s a quick an easy way to bank!!,2021-03-20T13:56:52-07:00,The ideal way to bank,2021.2.0.91
0Nate6ix,5,Best bank EVER hands down!,2021-03-16T12:36:24-07:00,Best bank,2021.2.0.91
Cuppa Tea42,5,Pretty easy to use and self explanatory,2021-03-15T15:20:42-07:00,Nice,2021.2.0.91
llan0919,4,I can’t search for a charge like I can on a computer.,2021-03-13T07:56:07-07:00,Search,2021.2.0.91
snakbak,1,"I’ve been banking here for almost 3 years and I’m sorry but your mobile app is absolutely terrible. Please hire a new UX team. I am constantly having issues with the app, which then advises me to use the live chat, which is one of the worst executed features you have. I’ve had no trouble with Community America outside of the app. But this app is easily the worst on my phone.",2021-03-10T10:22:42-07:00,Bad UX,2021.2.0.91
dellpickle,5,Super handy !,2021-03-10T00:14:20-07:00,Always there !,2021.2.0.91
Ms GJW,4,"I love the app for the most part. It’s great for checking balances and ease of use with the exception of the mobile deposits. 

Every time I try to take a picture of the back of my checks, I get some sort of error. Crazy ones too like “the image isn’t recognized” or “image size doesn’t match the front of the check.” I painstakingly make sure to hold the camera at the same angle and distance and yet every singe time I get one or both of those error messages. It’s maddening. I live in Florida so I don’t have the luxury of branch depositing or direct deposit from my employer. I share accounts with my husband who still lives in MO so I don’t really have an option to change banks. Nor do I really want to. I love CACU. They’ve been wonderful for us for the last 10 yrs.",2021-02-02T17:07:52-07:00,Mobile deposit camera,6.5.5.90
Budderemerald,3,I’ve been using the app for a few years and just recently when I take pictures of my checks it hasn’t been going through. It always says the pic is unclear but EVERYTHING shows up fine. Don’t know what’s going on.,2021-01-15T16:45:28-07:00,Was working fine...,6.5.5.90
Aaron2145,5,ank ever very helpful,2021-01-15T15:49:15-07:00,Great experience very helpful Great credit Union,6.5.5.90
Jennyjo77,5,I’ve been a member for 15 years. Wonderful experience. Totally recommend joining this bank.,2021-01-11T20:48:20-07:00,Best bank experience,6.5.5.90
Richie O 17,5,I have been using this app for many years. Never a problem on any level. Simply the best I could possible ask for,2021-01-04T15:50:36-07:00,Great app,6.5.2.87
Jase Lynn,1,"Every time I try to go to it, it shuts everything down!",2020-12-29T21:21:48-07:00,Bill pay,6.5.2.87
Bella0079,5,Bill Pay is not working,2020-12-28T01:26:13-07:00,Bill Pay is not working,6.5.2.87
Mamacooley,3,App crashes whenever I click on bill pay- loved it until this started happening last week. it is up to date and I have deleted and reinstalled 3 times to no avail??,2020-12-24T09:35:46-07:00,Keeps crashing,6.5.2.87
dthessen,3,App works fine until I tap on Billpay. Then it closes every time,2020-12-23T07:28:33-07:00,App closes when I tap on Billpay,6.5.2.87
Marysavagee7483920,1,It won’t even let me login. It sent a code through my phone but nowhere for me to enter the code,2020-12-14T16:16:55-07:00,Deleted the app,6.5.2.87
romeoramon,5,Outstanding customer services. Always have access to your monies.,2020-11-30T08:25:56-07:00,Mr.,6.5.2.87
